posY,posZ,amplL,amplR
-147.98,-653.44,1.88,0.66
-145.34,-653.44,24.88,22.56
-140.06,-653.44,0.62,0
-169.1,-653.44,2.03,1.09
-166.46,-653.44,0.42,2.39
-163.82,-653.44,2.83,3.17
-161.18,-653.44,17.83,15.07
-187.58,-653.44,8.22,4.5
-184.94,-653.44,0.47,3.34
-182.3,-653.44,72.49,40.91
-195.5,-653.44,5.88,6.39
-198.14,-653.44,1.65,0
-171.74,-653.44,11.32,10.67
-177.02,-653.44,1.14,0
-179.66,-653.44,13.22,7.85
-150.62,-653.44,1.59,0
-158.54,-653.44,1.1,0
-145.57,-640.04,7.63,4.8
-142.93,-640.04,6.41,4.23
-129.73,-640.04,1.12,1.49
-150.85,-640.04,5.47,3.36
-153.49,-640.04,0.96,2.32
-156.13,-640.04,5.14,0.67
-158.77,-640.04,8.56,4.04
-171.97,-640.04,14.14,3.97
-174.61,-640.04,5.98,4.79
-177.25,-640.04,44.68,46.72
-179.89,-640.04,7.91,6.49
-193.09,-640.04,0,1.02
-195.73,-640.04,0,0.92
-198.37,-640.04,0.86,0.93
-208.93,-640.04,0,1.07
-203.65,-640.04,2.34,1.57
-187.81,-640.04,11.15,5.85
-185.17,-640.04,5.74,5.56
-182.53,-640.04,1.61,2.8
-169.33,-640.04,84.49,60.08
-166.69,-640.04,105.67,92.19
-164.05,-640.04,93.21,99.73
-161.41,-640.04,25.85,28.27
-148.21,-640.04,3.79,0.87
-190.45,-640.04,1.32,0
-206.29,-640.04,1.88,0
-127.09,-640.04,2.51,0
-137.65,-640.04,2.6,0
-108.61,-640.04,1.79,0
-113.89,-640.04,0.82,0
-155.96,-626.64,40.77,46.14
-126.92,-626.64,2.52,0
-179.72,-626.64,3.34,0.94
-177.08,-626.64,13.98,3.67
-174.44,-626.64,15.71,9.15
-171.8,-626.64,3.07,1.2
-203.48,-626.64,0.31,2.17
-182.36,-626.64,24.35,20.01
-185,-626.64,4.12,0.99
-187.64,-626.64,0.54,0
-190.28,-626.64,2.35,4.88
-161.24,-626.64,28.64,15.2
-163.88,-626.64,88.95,77.98
-166.52,-626.64,66.04,44.48
-169.16,-626.64,25.51,21
-142.76,-626.64,5.48,4.29
-145.4,-626.64,1.1,1.54
-148.04,-626.64,1.63,0.81
-116.36,-626.64,0.61,0
-137.48,-626.64,3.13,0
-134.84,-626.64,2.4,1.31
-158.6,-626.64,17.43,12.82
-153.32,-626.64,31.58,9.35
-198.21,-613.24,0.72,0
-185.01,-613.24,1.28,0
-190.29,-613.24,1.43,0
-163.9,-613.24,3.35,6.31
-166.53,-613.24,19.02,8.47
-169.18,-613.24,7.6,10.8
-171.81,-613.24,1.91,0
-148.06,-613.24,11.54,6.07
-158.61,-613.24,40.67,31.76
-155.97,-613.24,0.4,0
-179.73,-613.24,1.43,1.23
-177.09,-613.24,3.31,0.9
-145.41,-613.24,3.38,0
-143.06,-599.84,2.71,4.1
-140.42,-599.84,13.1,8.45
-169.46,-599.84,1.58,0.81
-164.18,-599.84,7.74,19.04
-161.54,-599.84,16.5,4.59
-185.3,-599.84,0.89,1.41
-182.66,-599.84,2.09,3.18
-172.1,-599.84,47.92,54.47
-174.74,-599.84,9.55,4.89
-177.38,-599.84,23.85,15.13
-180.02,-599.84,1.82,0
-153.62,-599.84,1.45,0.79
-156.26,-599.84,67.44,45.41
-158.9,-599.84,33.03,41.43
-135.14,-599.84,1.66,0
-137.78,-599.84,0.56,1.61
-147.73,-586.44,0.58,0
-142.45,-586.44,1.65,0
-134.53,-586.44,13.98,12.93
-155.65,-586.44,0.86,0
-150.37,-586.44,0.82,1.38
-176.77,-586.44,4.82,5.87
-197.89,-586.44,0.38,0
-205.81,-586.44,1.52,0
-182.05,-586.44,8.06,1.59
-184.69,-586.44,2.63,0
-160.93,-586.44,30.36,24.02
-163.57,-586.44,13.51,10.92
-166.21,-586.44,8.47,10.14
-127.01,-573.04,15.59,5.18
-140.21,-573.04,3.77,0
-163.97,-573.04,30.85,32.94
-161.33,-573.04,21.27,9.94
-156.05,-573.04,5.31,3.93
-185.09,-573.04,1.64,0
-211.49,-573.04,1.43,0
-177.17,-573.04,0.34,2.9
-187.73,-573.04,2.21,0
-179.94,-559.64,6.36,3.96
-161.46,-559.64,2.26,0.9
-156.07,-506.04,7.56,7.11
-155.56,-492.64,8.16,9.65
-192.52,-492.64,13.93,13.98
-197.8,-492.64,1.2,0
-153.34,-439.04,6.71,4.59
-150.71,-439.04,2.93,2.17
-147.61,-385.44,4.65,1.99
-134.78,-653.44,0,1.61
-203.42,-653.44,0,4.34
-142.7,-653.44,0,1.83
-87.32,-626.64,0,1.19
-89.96,-626.64,0,0.53
-140.12,-626.64,0,1.51
-124.28,-626.64,0,0.76
-121.64,-626.64,0,0.72
-119,-626.64,0,0.42
-200.84,-626.64,0,1.84
-132.21,-613.24,0,1.66
-187.65,-613.24,0,0.42
-166.82,-599.84,0,1.36
-114.02,-599.84,0,1.25
-116.66,-599.84,0,0.67
-198.5,-599.84,0,0.97
-190.58,-599.84,0,1.31
-129.25,-586.44,0,1.22
-131.89,-586.44,0,1.84
-195.25,-586.44,0,1.85
-198.29,-573.04,0,0.59
-169.25,-573.04,0,0.84
-166.61,-573.04,0,1.71
-142.85,-573.04,0,0.71
-137.57,-573.04,0,1.2
-79.32,-546.24,1.14,0
-158.51,-546.24,7.64,3.7
-124.2,-546.24,1.1,0
-97.61,-532.84,3.75,0.95
-158.33,-532.84,6.55,4.81
-184.73,-532.84,2.82,2.77
-187.36,-532.84,1.27,0
-156.08,-519.44,2.74,4.87
-47.84,-519.44,1.94,0
-153.36,-479.24,2.34,0
-161.29,-479.24,3.4,0.93
-153.27,-465.84,3.14,1.69
-145.81,-452.44,2.48,0.31
-143.17,-452.44,11.17,3.81
-164.29,-452.44,1.04,0
-151.1,-452.44,2.68,5.12
-150.97,-425.64,11.46,6.81
