posX,posZ,amplL,amplR
-27.77,-598.38,0,0.89
-35.69,-598.38,0,3.56
-91.13,-598.38,0.27,0.92
-93.77,-598.38,0.32,1.11
-109.61,-598.38,0.58,0.49
-112.25,-598.38,1.49,2.93
-114.89,-598.38,3.78,11.02
-128.09,-598.38,10.67,10.03
-130.72,-598.38,11.8,31.09
-133.37,-598.38,7.77,5.76
-136.01,-598.38,9.85,26.03
-149.2,-598.38,85.42,99.36
-151.85,-598.38,89.08,90.81
-154.49,-598.38,78.73,92.74
-157.13,-598.38,86.1,97.1
-167.69,-598.38,0,0.36
-165.04,-598.38,3.19,11.86
-162.41,-598.38,15.92,18.05
-159.77,-598.38,15.03,13.3
-146.57,-598.38,43.44,63.76
-143.93,-598.38,25.63,46.03
-141.29,-598.38,9.87,14
-138.64,-598.38,10.88,7.92
-120.17,-598.38,5.89,1.44
-117.53,-598.38,2.27,1.43
-64.73,-598.38,0,1.78
-70.48,-584.98,0,1.01
-118,-584.98,0,0.17
-115.36,-584.98,0,2.66
-128.56,-584.98,1.48,9.57
-131.19,-584.98,0.97,3.9
-133.84,-584.98,1.72,7.43
-136.48,-584.98,10.27,18.04
-149.67,-584.98,67.31,66.94
-152.32,-584.98,85.77,82.59
-154.96,-584.98,70.04,78.55
-157.6,-584.98,26.64,44.72
-168.16,-584.98,1.35,3.71
-165.51,-584.98,2.7,1.84
-162.88,-584.98,0.63,10.97
-160.24,-584.98,31.08,46.44
-147.04,-584.98,28.58,35.9
-144.4,-584.98,14.17,27.89
-141.75,-584.98,27.08,44.26
-139.12,-584.98,6.98,7.3
-125.92,-584.98,0,0.98
-107.44,-584.98,0,1.13
-148.93,-544.78,22.6,39.82
-151.44,-544.78,8.7,18.97
-154.08,-544.78,4.65,5.25
-156.72,-544.78,41.89,49.22
-167.41,-544.78,6.9,4.23
-164.64,-544.78,0.58,0.66
-162,-544.78,3.82,1.71
-159.36,-544.78,9.26,9.03
-146.16,-544.78,17.32,15.02
-143.65,-544.78,2.92,6.31
-140.88,-544.78,29.1,36.22
-138.24,-544.78,0,2.29
-122.4,-544.78,0,1.69
-111.84,-544.78,1.59,0.84
-114.48,-544.78,1.84,0.61
-127.68,-544.78,15.84,11.33
-130.32,-544.78,1.48,3.72
-132.96,-544.78,3.34,0.85
-135.73,-544.78,10.52,24.52
-30.05,-517.98,0,1.03
-77.57,-517.98,1.55,0.88
-111.89,-517.98,0,5
-114.53,-517.98,8.54,1.52
-127.73,-517.98,0,2.75
-133.01,-517.98,0,0.58
-135.65,-517.98,2.39,0.86
-148.93,-517.98,4.23,9.04
-151.49,-517.98,4.89,10.18
-154.13,-517.98,0.26,1.69
-156.77,-517.98,3.97,9.66
-167.41,-517.98,17.55,11.37
-164.69,-517.98,39.91,57.31
-162.05,-517.98,13.95,23.17
-159.41,-517.98,10.55,4.22
-146.29,-517.98,32.06,45.32
-143.57,-517.98,3.55,6.8
-140.93,-517.98,26.02,36.81
-138.37,-517.98,16.09,19.82
-125.09,-517.98,4.08,4.93
-122.45,-517.98,9.73,16.7
-119.81,-517.98,11.74,23.52
-117.17,-517.98,8.12,6.04
-98.69,-517.98,0,2.12
-109.25,-517.98,0.41,1.66
-125.45,-598.38,0.86,0
-88.49,-598.38,0.25,0
-94.24,-584.98,0.44,0
-120.64,-584.98,1.24,0
-85.8,-571.58,0,1.16
-96.36,-571.58,0.28,1.4
-106.92,-571.58,0,2.36
-114.84,-571.58,0.7,0.56
-128.04,-571.58,1.31,2.59
-130.68,-571.58,7.48,3.99
-133.34,-571.58,16.06,33.24
-135.96,-571.58,0.54,0.29
-149.18,-571.58,36.35,51.75
-151.8,-571.58,36.37,67.38
-154.44,-571.58,42.51,74.45
-157.08,-571.58,7.37,8.61
-165,-571.58,0.72,2.54
-162.36,-571.58,1.73,0.65
-159.72,-571.58,9.89,13.15
-146.52,-571.58,11.9,8.86
-143.9,-571.58,6.68,10.38
-141.24,-571.58,0.62,1.19
-138.6,-571.58,0.85,1.08
-125.4,-571.58,0,3.52
-122.76,-571.58,0.8,1.6
-120.12,-571.58,0,2.52
-117.48,-571.58,59.79,62.84
-104.28,-571.58,0,1.54
-93.72,-571.58,0,0.47
-167.64,-571.58,1.73,0
-170.4,-571.58,0,1.1
-183.6,-571.58,1.98,5.98
-175.68,-571.58,4.11,5.57
-93.72,-558.18,0.29,1.05
-114.84,-558.18,0.19,0.46
-128.04,-558.18,0,0.66
-130.68,-558.18,2.03,0.86
-133.32,-558.18,0.4,2.84
-136,-558.18,2.89,2.33
-149.2,-558.18,32.54,29.91
-151.8,-558.18,54.85,76.26
