Time (s),Position (m)
0.033,0.215182
0.066,0.225037
0.099,0.221054
0.132,0.224178
0.165,0.228385
0.198,0.228762
0.231,0.228883
0.264,0.229277
0.297,0.228625
0.33,0.226925
0.363,0.22696
0.396,0.224333
0.429,0.217637
0.462,0.215251
0.495,0.214598
0.528,0.218822
0.561,0.215371
0.594,0.217448
0.627,0.213877
0.66,0.225363
0.693,0.238806
0.726,0.243682
0.759,0.246257
0.792,0.250034
0.825,0.254532
0.858,0.254841
0.891,0.25915
0.924,0.268215
0.957,0.270018
0.99,0.27922
1.023,0.286431
1.056,0.292371
1.089,0.300835
1.122,0.308063
1.155,0.313059
1.188,0.325867
1.221,0.334348
1.254,0.343894
1.287,0.353319
1.32,0.365663
1.353,0.375827
1.386,0.386918
1.419,0.39782
1.452,0.409408
1.485,0.421151
1.518,0.433204
1.551,0.443899
1.584,0.458578
1.617,0.470133
1.65,0.483696
1.683,0.497602
1.716,0.513861
1.749,0.526651
1.782,0.544111
1.815,0.556541
1.848,0.574843
1.881,0.591239
1.914,0.607617
1.947,0.624906
1.98,0.641851
2.013,0.659843
2.046,0.677716
2.079,0.695846
2.112,0.714181
2.145,0.73341
2.178,0.752639
2.211,0.772176
2.244,0.79204
2.277,0.812161
2.31,0.832815
2.343,0.853692
2.376,0.874946
2.409,0.908253
2.442,0.920975
2.475,0.939826
2.508,0.962247
2.541,0.985236
2.574,1.007778
2.607,1.031436
2.64,1.059214
2.673,1.091663
2.706,1.108024
2.739,1.129502
2.772,1.154499
2.805,1.182518
2.838,1.205987
2.871,1.231396
2.904,1.259982
2.937,1.290146
2.97,1.313478
3.003,1.339712
3.036,1.364709
3.069,1.392642
3.102,1.42042
3.135,1.448267
3.168,1.476767
3.201,1.505713
3.234,1.53435
3.267,1.564446
3.3,1.594078
3.333,1.624793
3.366,1.655112
3.399,1.685826
3.432,1.717313
3.465,1.744319
3.498,1.760921
3.531,1.774347
3.564,1.784287
3.597,1.794966
3.63,1.80573
3.663,1.811602
3.696,1.818641
3.729,1.813662
3.762,1.814383
3.795,1.796751
3.828,1.786107
3.861,1.769436
3.894,1.768011
3.927,1.801593
3.96,1.739684
3.993,1.755393
4.026,1.803704
4.059,1.770054
4.092,0.499542
4.125,0.480571
4.158,0.48088
4.191,0.484211
4.224,0.474494
4.257,0.484743
4.29,0.171798
4.323,0.171489
4.356,0.484348
4.389,0.171643
4.422,0.17166
4.455,0.509174
4.488,0.495679
4.521,1.967371
4.554,1.967645
4.587,1.967542
4.62,1.970032
4.653,1.967319
4.686,0.175197
4.719,0.171832
4.752,0.175025
4.785,1.965156
4.818,0.175266
4.851,0.172055
4.884,0.175352
4.917,0.175283
4.95,0.496074
4.983,0.502907
