"Latest: Time (s)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Latest: Position (m)"
0.033,0.174321464646,-1.8777639809,0.215182
0.066,0.0910833333333,-1.34460949867,0.225037
0.099,0.0481810606061,-0.648995901475,0.221054
0.132,0.0728373376623,-0.35964306667,0.224178
0.165,0.0549498737374,-0.567525225196,0.228385
0.198,0.0229694444444,-0.587085371664,0.228762
0.231,0.00867853535354,-0.521828045516,0.228883
0.264,-0.00711931818182,-0.537670137978,0.229277
0.297,-0.0271699494949,-0.525346472936,0.228625
0.33,-0.0378046717172,-0.546583910443,0.226925
0.363,-0.060260479798,-0.582272870753,0.22696
0.396,-0.101163762626,-0.200707341725,0.224333
0.429,-0.0963431818182,0.538190060325,0.217637
0.462,-0.0462390151515,0.954919364096,0.215251
0.495,0.0045821969697,0.774846189164,0.214598
0.528,0.0062702020202,0.592153527064,0.218822
0.561,0.00826679292929,0.942174315759,0.215371
0.594,0.0410332070707,1.65755385292,0.217448
0.627,0.138334217172,1.99423668503,0.213877
0.66,0.253728282828,0.986402631109,0.225363
0.693,0.232364015152,-0.523696194904,0.238806
0.726,0.15645770202,-1.01422152395,0.243682
0.759,0.1211625,-0.719635703627,0.246257
0.792,0.112294191919,-0.375278271988,0.250034
0.825,0.0950391414141,0.0518883596062,0.254532
0.858,0.106770707071,0.615950556703,0.254841
0.891,0.160948232323,0.72209187838,0.25915
0.924,0.169531439394,0.546940809611,0.268215
0.957,0.184147348485,0.560459360014,0.270018
0.99,0.216638636364,0.380602298235,0.27922
1.023,0.210412247475,0.199061989848,0.286431
1.056,0.218162878788,0.240070703882,0.292371
1.089,0.227106818182,0.260418276834,0.300835
1.122,0.223110858586,0.482993205413,0.308063
1.155,0.261448737374,0.672615485665,0.313059
1.188,0.29123459596,0.46486131836,0.325867
1.221,0.287342424242,0.324740922482,0.334348
1.254,0.298692550505,0.396433973574,0.343894
1.287,0.31997790404,0.358871862565,0.353319
1.32,0.329951388889,0.214926139552,0.365663
1.353,0.3290125,0.159435166054,0.375827
1.386,0.335058080808,0.185003746429,0.386918
1.419,0.341845959596,0.209229176232,0.39782
1.452,0.350550126263,0.219646783491,0.409408
1.485,0.357048989899,0.216477416208,0.421151
1.518,0.359318434343,0.303212762091,0.433204
1.551,0.377939141414,0.382239407969,0.443899
1.584,0.390537247475,0.360252875982,0.458578
1.617,0.395716414141,0.429961993674,0.470133
1.65,0.417720075758,0.510143273008,0.483696
1.683,0.440332575758,0.407235645597,0.497602
1.716,0.444681944444,0.312661670365,0.513861
1.749,0.455226767677,0.307718026222,0.526651
1.782,0.461269570707,0.355709653352,0.544111
1.815,0.47596969697,0.455457335348,0.556541
1.848,0.502351262626,0.376243001352,0.574843
1.881,0.503184090909,0.255457303464,0.591239
1.914,0.511286742424,0.261354852183,0.607617
1.947,0.520076136364,0.269729842618,0.624906
1.98,0.529498484848,0.280913219952,0.641851
2.013,0.540083964646,0.274765043108,0.659843
2.046,0.547118939394,0.273334768136,0.677716
2.079,0.555888888889,0.306981446409,0.695846
2.112,0.56829760101,0.324947884782,0.714181
2.145,0.579731060606,0.30609198041,0.73341
2.178,0.588137247475,0.297519736506,0.752639
2.211,0.597395959596,0.326449086828,0.772176
2.244,0.606944318182,0.418756663861,0.79204
2.277,0.622155681818,0.540009198679,0.812161
2.31,0.641340909091,0.616390674421,0.832815
2.343,0.667471464646,0.607672463269,0.853692
2.376,0.724463257576,-0.0705248348383,0.874946
2.409,0.671020833333,-0.861871699954,0.908253
2.442,0.588909469697,-0.342897520023,0.920975
2.475,0.626595707071,0.562107406132,0.939826
2.508,0.666717424242,0.848053849735,0.962247
2.541,0.693258838384,0.9343652274,0.985236
2.574,0.724602146465,0.958580916488,1.007778
2.607,0.772709343434,0.675244235282,1.031436
2.64,0.81138989899,-0.249506491685,1.059214
2.673,0.741626515152,-0.906038781119,1.091663
2.706,0.673571338384,-0.273740418707,1.108024
2.739,0.712153282828,0.579680676717,1.129502
2.772,0.76114520202,0.678967611723,1.154499
2.805,0.772301641414,0.510301850576,1.182518
2.838,0.776054545455,0.55779040404,1.205987
2.871,0.812061363636,0.516624244337,1.231396
2.904,0.838765151515,0.0364230212478,1.259982
2.937,0.810308585859,-0.34427265075,1.290146
2.97,0.782515277778,-0.168088045863,1.313478
3.003,0.787643055556,0.207923107336,1.339712
3.036,0.805671590909,0.456243479619,1.364709
3.069,0.830950883838,0.49094918567,1.392642
3.102,0.84313989899,0.416302593485,1.42042
3.135,0.854957575758,0.379511784512,1.448267
3.168,0.867510984848,0.349108206433,1.476767
3.201,0.876379166667,0.34850995753,1.505713
3.234,0.889781060606,0.358629843256,1.53435
3.267,0.902755176768,0.309813268416,1.564446
3.3,0.913246717172,0.175065490766,1.594078
3.333,0.920958838384,-0.142357316855,1.624793
3.366,0.917488762626,-0.755381753137,1.655112
3.399,0.896661994949,-1.80329849952,1.685826
3.432,0.818091540404,-3.12959037981,1.717313
3.465,0.660414267677,-3.88768006772,1.744319
3.498,0.501496212121,-3.5793247022,1.760921
3.531,0.393671464646,-2.70550583168,1.774347
3.564,0.333146717172,-1.97206861864,1.784287
3.597,0.299197348485,-1.85878677877,1.794966
3.63,0.238864393939,-2.2902391497,1.80573
3.663,0.159625757576,-2.96517633724,1.811602
3.696,0.0346431818182,-3.45735487769,1.818641
3.729,-0.08905,-3.47463804714,1.813662
3.762,-0.233311237374,-2.66457537815,1.814383
3.795,-0.326816035354,-0.852354176232,1.796751
3.828,-0.313035227273,1.04013523811,1.786107
3.861,-0.196193308081,1.48510657395,1.769436
3.894,0.0435632575758,-3.61856698296,1.768011
